,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
277,equalized_odds,implicit50,Fair-SMOTE,3.1891,-7.6858,-2.2484
278,equalized_odds,implicit50,FairSSL-LS,4.0774,4.5716,4.3245
279,equalized_odds,implicit50,FairSSL-CT,3.1891,17.2065,10.1978
280,equalized_odds,implicit50,FairSSL-LP,3.1663,-0.0204,1.5729
281,equalized_odds,implicit50,FairSSL-ST,6.6059,7.5035,7.0547
282,equalized_odds,implicit50,GridSearchReduction,2.7563,-9.504,-3.3739
283,equalized_odds,implicit50,ExponentiatedGradientReduction,-2.0729,-0.6384,-1.3557
284,equalized_odds,implicit50,FAGTB,0.3872,1.1401,0.7637
285,equalized_odds,implicit50,RejectOptionClassification,-0.2506,-1.0522,-0.6514
286,equalized_odds,implicit50,EqOddsPostprocessing,2.0729,-0.1449,0.964
287,equalized_odds,implicit50,CalibratedEqOddsPostprocessing,0.3645,-7.5584,-3.597
288,equalized_odds,implicit50,JiangNachum,-10.41,4.7709,-2.8196
289,equalized_odds,social10,LFR,14.8897,-1.9062,6.4918
290,equalized_odds,social10,Reweighing,-0.7583,1.3994,0.3206
291,equalized_odds,social10,Fair-SMOTE,-0.7583,0.733,-0.0126
292,equalized_odds,social10,FairSSL-LS,0.0919,-1.8702,-0.8891
293,equalized_odds,social10,FairSSL-CT,0.2987,0.688,0.4934
294,equalized_odds,social10,FairSSL-LP,-0.1149,-2.5288,-1.3219
295,equalized_odds,social10,FairSSL-ST,-0.2068,0.2388,0.016
296,equalized_odds,social10,GridSearchReduction,-0.4366,9.8961,4.7298
297,equalized_odds,social10,ExponentiatedGradientReduction,-7.2381,0.8633,-3.1874
298,equalized_odds,social10,FAGTB,-0.3217,0.804,0.2412
299,equalized_odds,social10,RejectOptionClassification,-0.0919,2.4017,1.1549
300,equalized_odds,social10,EqOddsPostprocessing,0.023,0.4099,0.2165
301,equalized_odds,social10,CalibratedEqOddsPostprocessing,-0.3676,10.5062,5.0693
302,equalized_odds,social10,JiangNachum,-7.6976,0.0639,-3.8168
303,equalized_odds,social20,LFR,0.0,0.0,0.0
304,equalized_odds,social20,Reweighing,-1.1051,-3.5282,-2.3166
305,equalized_odds,social20,Fair-SMOTE,-1.06,-3.0976,-2.0788
306,equalized_odds,social20,FairSSL-LS,-0.0902,-0.6323,-0.3613
307,equalized_odds,social20,FairSSL-CT,-0.7894,-3.4754,-2.1324
308,equalized_odds,social20,FairSSL-LP,-0.1804,-1.2511,-0.7157
309,equalized_odds,social20,FairSSL-ST,-1.0374,-0.0273,-0.5324
310,equalized_odds,social20,GridSearchReduction,-2.5485,15.1604,6.306
311,equalized_odds,social20,ExponentiatedGradientReduction,-12.0433,0.8889,-5.5772
312,equalized_odds,social20,FAGTB,-0.4285,-2.5296,-1.479
313,equalized_odds,social20,RejectOptionClassification,-5.2774,1.3908,-1.9433
314,equalized_odds,social20,EqOddsPostprocessing,1.7591,-0.4972,0.6309
315,equalized_odds,social20,CalibratedEqOddsPostprocessing,-2.4808,21.1097,9.3144
316,equalized_odds,social20,JiangNachum,-7.0591,-1.905,-4.482
317,equalized_odds,social30,LFR,8.084,-5.401,1.3415
318,equalized_odds,social30,Reweighing,-1.2788,-8.4132,-4.846
319,equalized_odds,social30,Fair-SMOTE,-1.4615,-8.6269,-5.0442
320,equalized_odds,social30,FairSSL-LS,-1.256,-7.039,-4.1475
321,equalized_odds,social30,FairSSL-CT,-1.7356,-9.3324,-5.534
322,equalized_odds,social30,FairSSL-LP,-1.0048,-8.2814,-4.6431
323,equalized_odds,social30,FairSSL-ST,-3.0829,13.7088,5.313
324,equalized_odds,social30,GridSearchReduction,-4.3161,18.587,7.1355
325,equalized_odds,social30,ExponentiatedGradientReduction,-15.894,-0.4419,-8.168
326,equalized_odds,social30,FAGTB,-0.6623,-3.5212,-2.0917
327,equalized_odds,social30,RejectOptionClassification,-12.2402,0.7424,-5.7489
328,equalized_odds,social30,EqOddsPostprocessing,4.0192,-2.039,0.9901
329,equalized_odds,social30,CalibratedEqOddsPostprocessing,-4.3389,25.7416,10.7013
330,equalized_odds,social30,JiangNachum,-7.536,-5.3956,-6.4658
331,equalized_odds,social40,LFR,1.0291,-0.8583,0.0854
332,equalized_odds,social40,Reweighing,-4.1834,-16.7059,-10.4447
333,equalized_odds,social40,Fair-SMOTE,-4.2058,-16.7332,-10.4695
334,equalized_odds,social40,FairSSL-LS,0.0,0.0,0.0
335,equalized_odds,social40,FairSSL-CT,-4.2282,-16.4332,-10.3307
336,equalized_odds,social40,FairSSL-LP,0.0,0.0,0.0
337,equalized_odds,social40,FairSSL-ST,0.0,0.0,0.0
338,equalized_odds,social40,GridSearchReduction,-7.4049,28.7524,10.6738
339,equalized_odds,social40,ExponentiatedGradientReduction,-20.6264,-4.3599,-12.4931
340,equalized_odds,social40,FAGTB,-1.745,-4.2244,-2.9847
341,equalized_odds,social40,RejectOptionClassification,-17.5391,-1.6026,-9.5709
342,equalized_odds,social40,EqOddsPostprocessing,5.9284,-0.6392,2.6446
343,equalized_odds,social40,CalibratedEqOddsPostprocessing,-5.8389,43.6589,18.91
344,equalized_odds,social40,JiangNachum,-5.9508,-6.3738,-6.1623
345,equalized_odds,social50,LFR,-9.8119,7.5026,-1.1547
346,equalized_odds,social50,Reweighing,-5.2572,-15.3677,-10.3124
347,equalized_odds,social50,Fair-SMOTE,-5.0079,-16.414,-10.711
348,equalized_odds,social50,FairSSL-LS,0.0,0.0,0.0
349,equalized_odds,social50,FairSSL-CT,-5.3025,-15.8314,-10.567
350,equalized_odds,social50,FairSSL-LP,0.0,0.0,0.0
351,equalized_odds,social50,FairSSL-ST,-9.608,12.1546,1.2733
352,equalized_odds,social50,GridSearchReduction,-0.4759,0.5743,0.0492
353,equalized_odds,social50,ExponentiatedGradientReduction,-20.7569,0.2095,-10.2737
354,equalized_odds,social50,FAGTB,7.9764,11.795,9.8857
355,equalized_odds,social50,RejectOptionClassification,-19.9637,2.0026,-8.9806
356,equalized_odds,social50,EqOddsPostprocessing,10.1518,-3.3149,3.4185
357,equalized_odds,social50,CalibratedEqOddsPostprocessing,-10.1745,34.5445,12.185
